,MSE,MSE,MSE,MSE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,MAPE,MSPE,MSPE,MSPE,MSPE,RSE,RSE,RSE,RSE,CORR,CORR,CORR,CORR,SMAPE,SMAPE,SMAPE,SMAPE,WAPE,WAPE,WAPE,WAPE,R2,R2,R2,R2
Variant,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual
Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,0.17505158483982086,0.19305451214313507,0.16317936778068542,0.186711847782135,0.2272232621908188,0.25424671173095703,0.22773948311805725,0.24095986783504486,0.4183916747570038,0.4393796920776367,0.4039546549320221,0.43210166692733765,0.33345210552215576,0.36749663949012756,0.33853739500045776,0.3510408401489258,34599.07421875,31555.259765625,32551.966796875,47423.57421875,0.4858589172363281,0.5102313756942749,0.469093918800354,0.5017797350883484,54.81856155395508,55.37089157104492,55.31380844116211,55.45912170410156,0.3856048882007599,0.42736122012138367,0.38948139548301697,0.4078165888786316,0.2898973822593689,0.32437461614608765,0.29055601358413696,0.3074229061603546,0.7639411091804504,0.7396639585494995,0.7799509167671204,0.7482171058654785
