Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux),z1_Total(kW),z2_Total(kW),z3_Total(kW),z4_Total(kW),z5_Total(kW),Floor_Total(kW),Floor_Mean_Temp,Floor_Mean_Lux
2019-01-01 11:00:00,0.0,0.0,0.213,19.85,72.43,1.0,0.0,1.2185,0.042166666666666665,19.96,70.75,1.0,0.301,0.28,0.0,0.0,0.0,0.0,0.07,0.0635,19.73,72.44,1.0,0.0,0.0,0.04133333333333333,19.93,72.36,0.0,0.213,1.2606666666666664,0.581,0.1335,0.04133333333333333,2.2295,22.162499999999998,51.75
2019-01-01 12:00:00,0.0,0.0,0.22299999999999998,19.85,72.43,1.0,0.0,0.115,0.0625,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06183333333333333,19.73,72.44,1.0,0.0,0.0,0.04,19.93,72.36,0.0,0.22299999999999998,0.17750000000000002,0.30000000000000004,0.06183333333333333,0.04,0.8023333333333335,22.162499999999998,51.75
2019-01-01 13:00:00,0.0,0.0,0.20083333333333334,19.85,72.43,1.0,0.0,2.1161666666666665,0.16466666666666668,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06383333333333334,19.73,72.44,1.0,0.0,0.0,0.04033333333333333,19.93,72.36,0.0,0.20083333333333334,2.2808333333333333,0.30000000000000004,0.06383333333333334,0.04033333333333333,2.885833333333333,22.162499999999998,51.75
2019-01-01 14:00:00,0.0,0.0,0.20233333333333334,19.85,72.43,1.0,0.0,2.1225,0.174,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06366666666666666,19.73,72.44,1.0,0.0,0.0,0.041,19.93,72.36,0.0,0.20233333333333334,2.2965000000000004,0.30000000000000004,0.06366666666666666,0.041,2.9035,22.162499999999998,51.75
2019-01-01 15:00:00,0.0,0.0,0.16116666666666665,19.85,72.43,1.0,0.0,2.1213333333333333,0.15283333333333332,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.08083333333333333,19.73,72.44,1.0,0.0,0.0,0.11516666666666667,19.93,72.36,0.0,0.16116666666666665,2.274166666666667,0.30000000000000004,0.08083333333333333,0.11516666666666667,2.931333333333334,22.162499999999998,51.75
2019-01-01 16:00:00,0.0,0.0,0.165,19.85,72.43,1.0,0.0,2.1193333333333335,0.14166666666666666,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06766666666666668,19.73,72.44,1.0,0.0,0.0,0.07366666666666667,19.93,72.36,0.0,0.165,2.261,0.30000000000000004,0.06766666666666668,0.07366666666666667,2.8673333333333333,22.162499999999998,51.75
2019-01-01 17:00:00,0.0,0.0,0.19716666666666666,19.85,72.43,1.0,0.0,2.1013333333333333,0.2005,19.96,70.75,1.0,1.0188333333333333,0.28,0.0,0.0,0.0,0.0,0.0,0.065,19.73,72.44,1.0,0.0,0.0,0.041666666666666664,19.93,72.36,0.0,0.19716666666666666,2.3018333333333336,1.2988333333333333,0.065,0.041666666666666664,3.9044999999999996,22.162499999999998,51.75
2019-01-01 18:00:00,0.0,0.0,0.16999999999999998,19.85,72.43,1.0,0.0,2.0653333333333332,0.194,19.96,70.75,1.0,1.1783333333333335,0.28,0.0,0.0,0.0,0.0,0.0,0.06333333333333334,19.73,72.44,1.0,0.0,0.0,0.0435,19.93,72.36,0.0,0.16999999999999998,2.259333333333333,1.4583333333333333,0.06333333333333334,0.0435,3.9945,22.162499999999998,51.75
2019-01-01 19:00:00,0.0,0.0,0.18733333333333332,19.85,72.43,1.0,0.0,2.0654999999999997,0.16933333333333334,19.96,70.75,1.0,1.1894999999999998,0.2791666666666667,0.0,0.0,0.0,0.0,0.0,0.06316666666666666,19.73,72.44,1.0,0.0,0.0,0.04666666666666667,19.93,72.36,0.0,0.18733333333333332,2.2348333333333334,1.4686666666666668,0.06316666666666666,0.04666666666666667,4.000666666666667,22.162499999999998,51.75
2019-01-01 20:00:00,0.0,0.0,0.1525,19.85,72.43,1.0,0.0,2.088833333333333,0.16283333333333333,19.96,70.75,1.0,1.0698333333333332,0.28,0.0,0.0,0.0,0.0,0.0,0.06333333333333334,19.73,72.44,1.0,0.0,0.0,0.04216666666666667,19.93,72.36,0.0,0.1525,2.2516666666666665,1.3498333333333334,0.06333333333333334,0.04216666666666667,3.8594999999999997,22.162499999999998,51.75
2019-01-01 21:00:00,0.0,0.0,0.20516666666666666,19.85,72.43,1.0,0.0,2.0826666666666664,0.15283333333333332,19.96,70.75,1.0,1.0551666666666668,0.2768333333333334,0.0,0.0,0.0,0.0,0.0,0.0765,19.73,72.44,1.0,0.0,0.0,0.04633333333333334,19.93,72.36,0.0,0.20516666666666666,2.2355,1.332,0.0765,0.04633333333333334,3.8955,22.162499999999998,51.75
2019-01-01 22:00:00,0.0,0.0,0.15166666666666667,19.85,72.43,1.0,0.0,0.6973333333333332,0.11033333333333334,19.96,70.75,1.0,0.44333333333333336,0.28,0.0,0.0,0.0,0.0,0.0,0.06833333333333333,19.73,72.44,1.0,0.0,0.0,0.043333333333333335,19.93,72.36,0.0,0.15166666666666667,0.8076666666666666,0.7233333333333334,0.06833333333333333,0.043333333333333335,1.7943333333333336,22.162499999999998,51.75
2019-01-01 23:00:00,0.0,0.0,0.19033333333333333,19.85,72.43,1.0,0.0,0.01,0.059166666666666666,19.96,70.75,1.0,0.01983333333333333,0.2768333333333334,0.0,0.0,0.0,0.0,0.0,0.06216666666666667,19.73,72.44,1.0,0.0,0.0,0.04066666666666666,19.93,72.36,0.0,0.19033333333333333,0.06916666666666667,0.2966666666666667,0.06216666666666667,0.04066666666666666,0.6590000000000001,22.162499999999998,51.75
2019-01-02 00:00:00,0.0,0.0,0.16533333333333333,19.85,72.43,1.0,0.0,0.01,0.07833333333333334,19.96,70.75,1.0,0.02,0.2791666666666667,0.0,0.0,0.0,0.0,0.0,0.0605,19.73,72.44,1.0,0.0,0.0,0.04066666666666666,19.93,72.36,0.0,0.16533333333333333,0.08833333333333333,0.2991666666666667,0.0605,0.04066666666666666,0.6540000000000001,22.162499999999998,51.75
2019-01-02 01:00:00,0.0,0.0,0.15366666666666667,19.85,72.43,1.0,0.0,0.01,0.093,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.060333333333333336,19.73,72.44,1.0,0.0,0.0,0.04033333333333333,19.93,72.36,0.0,0.15366666666666667,0.10300000000000001,0.30000000000000004,0.060333333333333336,0.04033333333333333,0.6573333333333334,22.162499999999998,51.75
2019-01-02 02:00:00,0.0,0.0,0.19916666666666666,19.85,72.43,1.0,0.0,0.01,0.06833333333333333,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06083333333333333,19.73,72.44,1.0,0.0,0.0,0.03833333333333334,19.93,72.36,0.0,0.19916666666666666,0.07833333333333334,0.30000000000000004,0.06083333333333333,0.03833333333333334,0.6766666666666669,22.162499999999998,51.75
2019-01-02 03:00:00,0.0,0.0,0.222,19.85,72.43,1.0,0.0,0.01,0.0605,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.066,19.73,72.44,1.0,0.0,0.0,0.04083333333333334,19.93,72.36,0.0,0.222,0.07050000000000001,0.30000000000000004,0.066,0.04083333333333334,0.6993333333333335,22.162499999999998,51.75
2019-01-02 04:00:00,0.0,0.0,0.27566666666666667,19.85,72.43,1.0,0.0,0.01,0.06383333333333334,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.07583333333333334,19.73,72.44,1.0,0.0,0.0,0.04066666666666666,19.93,72.36,0.0,0.27566666666666667,0.07383333333333333,0.30000000000000004,0.07583333333333334,0.04066666666666666,0.7660000000000001,22.162499999999998,51.75
2019-01-02 05:00:00,0.0,0.0,0.229,19.85,72.43,1.0,0.0,0.01,0.11716666666666667,19.96,70.75,1.0,0.4015,0.28,0.0,0.0,0.0,0.0,0.02666666666666667,0.06083333333333333,19.73,72.44,1.0,0.0,0.0,0.035833333333333335,19.93,72.36,0.0,0.229,0.12716666666666668,0.6815,0.0875,0.035833333333333335,1.1610000000000003,22.162499999999998,51.75
2019-01-02 06:00:00,0.0,0.6648333333333334,0.15266666666666667,19.85,72.43,1.0,0.0,1.5806666666666667,0.1705,19.96,70.75,1.0,1.6738333333333335,0.28,0.0,0.0,0.0,0.0,1.8473333333333335,0.31283333333333335,19.73,72.44,1.0,0.0,0.5258333333333334,0.04133333333333333,19.93,72.36,0.0,0.8175,1.7511666666666665,1.9538333333333333,2.160166666666667,0.5671666666666667,7.249833333333333,22.162499999999998,51.75
2019-01-02 07:00:00,4.552499999999999,1.5150000000000001,0.22183333333333335,19.85,72.43,1.0,6.196,3.9998333333333336,0.2763333333333333,19.96,70.75,1.0,1.7478333333333333,0.28,0.0,0.0,0.0,5.674666666666667,3.146333333333333,0.8390000000000001,19.73,72.44,1.0,4.136833333333334,1.4383333333333332,0.12616666666666668,19.93,72.36,0.0,6.289333333333333,10.472166666666668,2.027833333333333,9.66,5.701333333333333,34.150666666666666,22.162499999999998,51.75
2019-01-02 08:00:00,18.1335,3.663,0.5128333333333334,19.85,72.43,1.0,21.887166666666666,6.2123333333333335,0.7093333333333334,19.96,70.75,1.0,2.077,0.28833333333333333,0.0,0.0,0.0,14.497666666666667,4.240333333333333,0.8396666666666667,19.73,72.44,1.0,7.376499999999999,2.603,0.35783333333333334,19.93,72.36,0.0,22.30933333333333,28.808833333333332,2.365333333333333,19.57766666666667,10.337333333333333,83.3985,22.162499999999998,51.75
2019-01-02 09:00:00,18.2545,3.7070000000000003,0.7315,19.85,72.43,1.0,16.568166666666666,6.582666666666666,0.8773333333333333,19.96,70.75,1.0,2.0881666666666665,0.29,0.0,0.0,0.0,12.717,4.379166666666666,1.0066666666666666,19.73,72.44,1.0,5.8255,2.6441666666666666,0.3751666666666667,19.93,72.36,0.0,22.692999999999998,24.028166666666667,2.3781666666666665,18.102833333333333,8.844833333333334,76.047,22.162499999999998,51.75
2019-01-02 10:00:00,18.437833333333334,3.3393333333333333,0.6506666666666666,19.85,72.43,1.0,14.700166666666666,6.5681666666666665,0.771,19.96,70.75,1.0,1.9371666666666667,0.29,0.0,0.0,0.0,11.380666666666666,4.3790000000000004,0.8871666666666668,19.73,72.44,1.0,4.889666666666667,2.6438333333333333,0.4041666666666667,19.93,72.36,0.0,22.427833333333336,22.03933333333333,2.2271666666666667,16.646833333333333,7.937666666666667,71.27883333333332,22.162499999999998,51.75
2019-01-02 11:00:00,13.6235,3.3059999999999996,0.6608333333333333,19.85,72.43,1.0,10.192333333333332,6.641333333333334,0.8618333333333333,19.96,70.75,1.0,1.7416666666666667,0.29,0.0,0.0,0.0,9.048833333333333,4.3276666666666666,1.0203333333333333,19.73,72.44,1.0,3.5936666666666666,2.555833333333333,0.41450000000000004,19.93,72.36,0.0,17.590333333333334,17.6955,2.0316666666666667,14.396833333333332,6.564000000000001,58.278333333333336,22.162499999999998,51.75
2019-01-02 12:00:00,0.1438333333333333,3.3638333333333335,0.6026666666666666,19.85,72.43,1.0,0.4293333333333333,6.219833333333333,0.7618333333333334,19.96,70.75,1.0,1.6966666666666665,0.289,0.0,0.0,0.0,0.09716666666666667,3.3280000000000003,0.7786666666666666,19.73,72.44,1.0,0.03166666666666666,1.9914999999999998,0.38316666666666666,19.93,72.36,0.0,4.110333333333333,7.4110000000000005,1.9856666666666667,4.203833333333333,2.4063333333333334,20.117166666666666,22.162499999999998,51.75
2019-01-02 13:00:00,18.35183333333333,3.2864999999999998,0.6643333333333333,19.85,72.43,1.0,17.772166666666667,6.333166666666667,0.7611666666666667,19.96,70.75,1.0,1.7406666666666666,0.29,0.0,0.0,0.0,17.174166666666668,4.189666666666667,0.9343333333333333,19.73,72.44,1.0,7.477833333333334,2.5965,0.4658333333333333,19.93,72.36,0.0,22.302666666666667,24.8665,2.030666666666667,22.298166666666667,10.540166666666666,82.03816666666667,22.162499999999998,51.75
2019-01-02 14:00:00,18.802333333333333,3.3913333333333333,0.6726666666666666,19.85,72.43,1.0,12.575333333333333,6.592666666666667,0.89,19.96,70.75,1.0,1.8105,0.29,0.0,0.0,0.0,12.594666666666665,4.369166666666667,0.9480000000000001,19.73,72.44,1.0,5.1418333333333335,2.643666666666667,0.455,19.93,72.36,0.0,22.866333333333333,20.058,2.1005,17.911833333333334,8.2405,71.17716666666666,22.162499999999998,51.75
2019-01-02 15:00:00,18.7905,3.4878333333333336,0.5843333333333334,19.85,72.43,1.0,12.628666666666668,6.8605,0.8481666666666666,19.96,70.75,1.0,1.779,0.29,0.0,0.0,0.0,10.967166666666666,4.337166666666667,0.952,19.73,72.44,1.0,6.175833333333333,2.666333333333333,0.4031666666666667,19.93,72.36,0.0,22.862666666666666,20.337333333333333,2.069,16.256333333333334,9.245333333333333,70.77066666666666,22.162499999999998,51.75
2019-01-02 16:00:00,8.860833333333334,3.4739999999999998,0.5601666666666667,19.85,72.43,1.0,5.916333333333333,7.176166666666666,0.7935,19.96,70.75,1.0,1.5326666666666666,0.29,0.0,0.0,0.0,6.504499999999999,3.9216666666666664,0.6865,19.73,72.44,1.0,2.5349999999999997,2.659666666666667,0.3938333333333333,19.93,72.36,0.0,12.895000000000001,13.886,1.8226666666666667,11.112666666666666,5.5885,45.304833333333335,22.162499999999998,51.75
2019-01-02 17:00:00,0.0,3.508666666666667,0.3953333333333333,19.85,72.43,1.0,0.0,6.7683333333333335,0.44299999999999995,19.96,70.75,1.0,1.3715000000000002,0.28150000000000003,0.0,0.0,0.0,0.0,3.068166666666667,0.2518333333333333,19.73,72.44,1.0,0.0,1.8318333333333332,0.13933333333333334,19.93,72.36,0.0,3.9040000000000004,7.211333333333333,1.653,3.32,1.9711666666666667,18.0595,22.162499999999998,51.75
2019-01-02 18:00:00,0.0,0.0,0.234,19.85,72.43,1.0,0.0,5.9425,0.2905,19.96,70.75,1.0,1.4118333333333333,0.28,0.0,0.0,0.0,0.0,1.621,0.16233333333333333,19.73,72.44,1.0,0.0,1.1128333333333333,0.050499999999999996,19.93,72.36,0.0,0.234,6.2330000000000005,1.6918333333333335,1.7833333333333334,1.1633333333333336,11.105500000000001,22.162499999999998,51.75
2019-01-02 19:00:00,0.0,0.3106666666666667,0.2875,19.85,72.43,1.0,0.0,4.591166666666667,0.13733333333333334,19.96,70.75,1.0,0.8308333333333333,0.28,0.0,0.0,0.0,0.0,1.6286666666666667,0.1325,19.73,72.44,1.0,0.0,1.1155000000000002,0.11900000000000001,19.93,72.36,0.0,0.5981666666666666,4.7285,1.1108333333333333,1.7611666666666668,1.2345000000000002,9.433166666666667,22.162499999999998,51.75
