,MSE,MSE,MSE,MSE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,MAPE,MSPE,MSPE,MSPE,MSPE,RSE,RSE,RSE,RSE,CORR,CORR,CORR,CORR,SMAPE,SMAPE,SMAPE,SMAPE,WAPE,WAPE,WAPE,WAPE,R2,R2,R2,R2
Variant,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual,Conv_original,Conv_dual,Hybrid_original,Hybrid_dual
Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTh1,0.4510865807533264,0.45369601249694824,0.4483557641506195,0.4557051360607147,0.44695010781288147,0.44759196043014526,0.44491374492645264,0.44887879490852356,0.671629786491394,0.6735696196556091,0.6695937514305115,0.6750593781471252,0.7281245589256287,0.7289719581604004,0.7254582643508911,0.73073810338974,41968.625,42361.58203125,42040.87109375,41875.15625,0.6379457116127014,0.6397882103919983,0.6360117793083191,0.6412032842636108,25.498876571655273,25.467374801635742,25.495683670043945,25.4954776763916,0.8222141861915588,0.8230897784233093,0.8200591206550598,0.8263931274414062,0.5615051984786987,0.562311589717865,0.558946967124939,0.5639282464981079,0.593025267124176,0.5906710624694824,0.5954890251159668,0.5888583660125732
ETTm1,0.35357168316841125,0.350087970495224,0.3516709506511688,0.3527505099773407,0.3834982216358185,0.3824074864387512,0.38215234875679016,0.3828577697277069,0.5946189165115356,0.5916823148727417,0.5930185317993164,0.5939280390739441,0.6711994409561157,0.6720201373100281,0.6704559326171875,0.6716676950454712,383.37841796875,391.526123046875,364.8096008300781,381.33843994140625,0.5658056735992432,0.5630114078521729,0.5642828345298767,0.5651482939720154,50.57993698120117,50.979705810546875,50.90666580200195,50.8050537109375,0.7430683970451355,0.7412556409835815,0.7385486960411072,0.738628089427948,0.4846665561199188,0.48328807950019836,0.4829656183719635,0.483857125043869,0.6798639297485352,0.683018147945404,0.681584894657135,0.6806074380874634
electricity,0.19930928945541382,0.19129812717437744,0.20170734822750092,0.18701906502246857,0.28400179743766785,0.2861977815628052,0.28546953201293945,0.28428640961647034,0.4464406967163086,0.4373764097690582,0.44911840558052063,0.43245700001716614,0.5034714937210083,0.5139861106872559,0.5035083293914795,0.5117044448852539,608292.375,719731.375,573400.4375,543556.8125,0.44383060932159424,0.4348193407058716,0.4464927017688751,0.4299286901950836,45.40534973144531,45.74433517456055,45.31300354003906,45.75446701049805,0.5427618026733398,0.5486847162246704,0.5465812087059021,0.5463307499885559,0.3422807455062866,0.3449273705482483,0.3440496623516083,0.3426237404346466,0.8030143976211548,0.8109321594238281,0.8006442785263062,0.8151613473892212
smartbuilding,0.5612231492996216,0.562279224395752,0.575737476348877,0.5571186542510986,0.49688610434532166,0.4984152615070343,0.5069578289985657,0.4976540207862854,0.7491483092308044,0.7498527765274048,0.758773684501648,0.7464038133621216,0.6954787969589233,0.6996622085571289,0.707714319229126,0.6997396349906921,955.2423706054688,1026.958251953125,962.3942260742188,947.271240234375,0.656977117061615,0.6575950384140015,0.6654183268547058,0.6545703411102295,17.391645431518555,17.517406463623047,17.134092330932617,17.67597198486328,0.8508999347686768,0.8564119338989258,0.8683282136917114,0.8560856580734253,0.6241360306739807,0.6260567903518677,0.6367870569229126,0.6251006126403809,0.5683809518814087,0.5675687789916992,0.5572184324264526,0.5715376138687134
traffic,0.5340774059295654,0.5192119479179382,0.5790119171142578,0.5220327377319336,0.35255539417266846,0.3506326377391815,0.3599092960357666,0.3453264534473419,0.7308059930801392,0.7205636501312256,0.7609283328056335,0.7225183248519897,0.5649730563163757,0.5765165686607361,0.5605472922325134,0.5661711096763611,1634774.75,583538.625,1560748.0,449257.75,0.6049476861953735,0.5964692831039429,0.6298824548721313,0.5980873107910156,29.663206100463867,29.458467483520508,29.878372192382812,29.35503578186035,0.5915019512176514,0.6080631613731384,0.6156156063079834,0.610396146774292,0.44102030992507935,0.438615083694458,0.4502194821834564,0.4319774806499481,0.6340383291244507,0.6442244052886963,0.603248119354248,0.6422915458679199
weather,0.18476858735084534,0.1835135817527771,0.18071530759334564,0.17921330034732819,0.2304713875055313,0.228854238986969,0.22775501012802124,0.2250702679157257,0.42984718084335327,0.42838484048843384,0.4251062273979187,0.4233359098434448,0.5214289426803589,0.5205495953559875,0.5189746618270874,0.5166215300559998,24017450.0,22436050.0,25178656.0,23656454.0,0.5663957595825195,0.5644689202308655,0.5601488351821899,0.5578161478042603,43.310150146484375,43.39238357543945,43.488006591796875,43.35960388183594,0.572319507598877,0.5712814331054688,0.5679738521575928,0.5619866847991943,0.37961137294769287,0.3769477605819702,0.37513720989227295,0.3707151412963867,0.6791958808898926,0.6813747882843018,0.6862332820892334,0.6888411641120911
